premise	hypothesis	label
A person on a horse jumps over a broken down airplane.	) person is training his horse for a competition.	1
A person on a horse jumps over a broken down airplane.	a person passed at a diner, ordering an omelette.	2
A person on a horse jumps over a broken down airplane.	a role is outdoors, on a horse.	0
Children smiling and waving at camera	thenlly smiling at their parents	1
Children smiling and waving at camera	there are children present	0
Children smiling and waving at camera	the kids are.	2
A boy is jumping on skateboard in the middle of a red bridge.	the boy skated along the sidewalk.	2
A boy is jumping on skateboard in the middle of a red bridge.	the band does a skateboarding thing.	0
A boy is jumping on skateboard in the middle of a red bridge.	the boy is using safety equipment.	1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	an older man drinks orange juice as he waits for his daughter to get off stage.	1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	a boy flips a burger.	2
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	an elderly man sits in a his shop.	1
Two blond women are hugging one another.	some women are hugging on vacation.	1
Two blond women are hugging one another.	the women were sleeping.	2
Two blond women are hugging one another.	there winners women showing affection.	0
A few people in a restaurant setting, one of them is drinking orange juice.	the people were eating omelettes.	1
A few people in a restaurant setting, one of them is drinking orange juice.	the people are sitting at desks in school.	2
A few people in a restaurant setting, one of them is drinking orange juice.	the diners are at a restaurant.	0
An older man is drinking orange juice at a restaurant.	a man is drinking juice.	0
An older man is drinking orange juice at a restaurant.	two women are at a tavern drinking fan.	2
An older man is drinking orange juice at a restaurant.	a man at a restaurant is waiting for his meal to arrive.	1
A man with blond-hair, and a brown shirt drinking out of a public water fountain.	a blond man getting a drink of water from a fountain after the park.	1
A man with blond-hair, and a brown shirt drinking out of a public water fountain.	a blond man wearing a brown shirt is sitting sitting out on a bench in the park	2
A man with blond-hair, and a brown shirt drinking out of a public water fountain.	a blond man drinking water from a fountain.	0
Two women who just had lunch hugging and saying goodbye.	the friends scowl at each other over a full hovering table.	2
Two women who just had lunch hugging and saying goodbye.	there are two woman in this picture.	0
Two women who just had lunch hugging and saying goodbye.	my friends have just met for the first time in 20 years, and have had a great time catching up.	1
Two women, holding food carryout containers, hug.	the two sisters met each other across the crowded diner and shared a hug, both clutching their brownie bags.	1
Two women, holding food carryout containers, hug.	athletes groups of rival gang leaders flipped each other off.	2
Two women, holding food carryout containers, hug.	two women hug each other.	0
A Little League team tries to catch a runner sliding into a base in an afternoon game.	a team is trying to score the games kicked out.	1
A Little League team tries to catch a runner sliding into a base in an afternoon game.	the team is trying to tag a runner out.	0
A Little League team tries to catch a runner sliding into a base in an afternoon game.	a team, playing baseball on saturn.	2
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.	a school fielding a basketball stadium.	2
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.	the high school is hosting an event.	1
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.	, school is hosting an event.	0
High fashion ladies wait outside a tram beside a crowd of people in the city.	the women don't care what clothes they wear.	2
High fashion ladies wait outside a tram beside a crowd of people in the city.	women are brought by a tram.	0
High fashion ladies wait outside a tram beside a crowd of people in the city.	the women enjoy developing a certain fashion sense.	1
